<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2010.05.31,15:00:00,105.07,105.07,105.07,105.07,100,0,0
2010.06.30,15:00:00,105.06,105.06,105.06,105.06,100,0,0
2010.07.31,15:00:00,104.72,104.72,104.72,104.72,100,0,0
2010.08.31,15:00:00,104.11,104.11,104.11,104.11,100,0,0
2010.09.30,15:00:00,103.52,103.52,103.52,103.52,100,0,0
2010.10.31,15:00:00,103.57,103.57,103.57,103.57,100,0,0
2010.11.30,15:00:00,103.20,103.20,103.20,103.20,100,0,0
2010.12.31,15:00:00,101.79,101.79,101.79,101.79,100,0,0
2011.02.28,15:00:00,102.90,102.90,102.90,102.90,100,0,0
2011.03.31,15:00:00,102.98,102.98,102.98,102.98,100,0,0
2011.04.30,15:00:00,103.19,103.19,103.19,103.19,100,0,0
2011.05.31,15:00:00,103.20,103.20,103.20,103.20,100,0,0
2011.06.30,15:00:00,101.75,101.75,101.75,101.75,100,0,0
2011.07.31,15:00:00,101.50,101.50,101.50,101.50,100,0,0
2011.08.31,15:00:00,101.12,101.12,101.12,101.12,100,0,0
2011.09.30,15:00:00,100.41,100.41,100.41,100.41,100,0,0
2011.10.31,15:00:00,100.27,100.27,100.27,100.27,100,0,0
2011.11.30,15:00:00,99.87,99.87,99.87,99.87,100,0,0
2011.12.31,15:00:00,98.89,98.89,98.89,98.89,100,0,0
2012.02.29,15:00:00,97.89,97.89,97.89,97.89,100,0,0
2012.03.31,15:00:00,96.92,96.92,96.92,96.92,100,0,0
2012.04.30,15:00:00,95.62,95.62,95.62,95.62,100,0,0
2012.05.31,15:00:00,94.90,94.90,94.90,94.90,100,0,0
2012.06.30,15:00:00,94.71,94.71,94.71,94.71,100,0,0
2012.07.31,15:00:00,94.57,94.57,94.57,94.57,100,0,0
2012.08.31,15:00:00,94.64,94.64,94.64,94.64,100,0,0
2012.09.30,15:00:00,94.39,94.39,94.39,94.39,100,0,0
2012.10.31,15:00:00,94.56,94.56,94.56,94.56,100,0,0
2012.11.30,15:00:00,95.71,95.71,95.71,95.71,100,0,0
2012.12.31,15:00:00,95.59,95.59,95.59,95.59,100,0,0
2013.02.28,15:00:00,97.92,97.92,97.92,97.92,100,0,0
2013.03.31,15:00:00,97.56,97.56,97.56,97.56,100,0,0
2013.04.30,15:00:00,97.35,97.35,97.35,97.35,100,0,0
2013.05.31,15:00:00,97.26,97.26,97.26,97.26,100,0,0
2013.06.30,15:00:00,97.29,97.29,97.29,97.29,100,0,0
2013.07.31,15:00:00,97.39,97.39,97.39,97.39,100,0,0
2013.08.31,15:00:00,97.29,97.29,97.29,97.29,100,0,0
2013.09.30,15:00:00,97.25,97.25,97.25,97.25,100,0,0
2013.10.31,15:00:00,96.88,96.88,96.88,96.88,100,0,0
2013.11.30,15:00:00,96.38,96.38,96.38,96.38,100,0,0
