<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2020.05.11,15:00:00,42.83,43.00,41.30,41.58,100,0,0
2020.05.12,15:00:00,41.58,42.99,41.30,42.33,100,0,0
2020.05.13,15:00:00,42.31,44.09,41.62,43.68,100,0,0
2020.05.14,15:00:00,44.00,44.00,42.32,42.58,100,0,0
2020.05.15,15:00:00,42.60,42.76,41.45,41.87,100,0,0
2020.05.18,15:00:00,40.90,41.30,38.88,40.45,100,0,0
2020.05.19,15:00:00,41.01,41.85,40.19,40.49,100,0,0
2020.05.20,15:00:00,40.59,41.32,40.41,40.60,100,0,0
2020.05.21,15:00:00,40.88,40.88,39.85,39.92,100,0,0
2020.05.22,15:00:00,39.99,40.35,39.00,39.18,100,0,0
2020.05.25,15:00:00,39.28,41.30,39.10,40.85,100,0,0
2020.05.26,15:00:00,41.00,42.13,40.58,41.88,100,0,0
2020.05.27,15:00:00,42.09,42.18,40.15,40.15,100,0,0
2020.05.28,15:00:00,40.15,40.63,39.68,40.20,100,0,0
2020.05.29,15:00:00,40.20,40.62,39.48,39.56,100,0,0
2020.06.01,15:00:00,39.98,40.30,39.41,39.80,100,0,0
2020.06.02,15:00:00,39.80,39.96,38.76,39.30,100,0,0
2020.06.03,15:00:00,39.18,39.47,38.82,39.03,100,0,0
2020.06.04,15:00:00,39.23,40.16,39.02,39.90,100,0,0
2020.06.05,15:00:00,39.43,39.75,38.92,39.40,100,0,0
2020.06.08,15:00:00,39.43,39.90,39.01,39.11,100,0,0
2020.06.09,15:00:00,39.21,39.99,39.11,39.89,100,0,0
2020.06.10,15:00:00,38.91,39.83,38.42,39.58,100,0,0
2020.06.11,15:00:00,39.50,39.80,38.80,39.07,100,0,0
2020.06.12,15:00:00,38.18,39.88,38.00,39.85,100,0,0
2020.06.15,15:00:00,39.50,41.60,39.40,40.78,100,0,0
2020.06.16,15:00:00,40.79,41.46,40.28,40.88,100,0,0
2020.06.17,15:00:00,40.80,41.64,40.36,40.92,100,0,0
2020.06.18,15:00:00,41.33,41.75,40.73,41.69,100,0,0
2020.06.19,15:00:00,41.90,43.06,41.50,42.55,100,0,0
2020.06.22,15:00:00,42.61,42.97,41.50,41.84,100,0,0
2020.06.23,15:00:00,41.84,42.38,41.32,42.15,100,0,0
2020.06.24,15:00:00,42.42,44.77,42.11,43.83,100,0,0
2020.06.29,15:00:00,44.02,46.27,43.85,46.06,100,0,0
2020.06.30,15:00:00,46.70,47.17,45.35,46.09,100,0,0
2020.07.01,15:00:00,46.08,48.50,45.83,47.55,100,0,0
2020.07.02,15:00:00,47.46,49.04,46.40,47.01,100,0,0
2020.07.03,15:00:00,47.03,47.30,45.28,46.16,100,0,0
2020.07.06,15:00:00,46.00,47.43,45.72,47.03,100,0,0
2020.07.07,15:00:00,47.04,48.50,46.54,47.28,100,0,0
2020.07.08,15:00:00,47.28,47.74,46.50,47.22,100,0,0
2020.07.09,15:00:00,47.19,48.09,46.70,48.00,100,0,0
2020.07.10,15:00:00,47.85,49.60,47.53,49.16,100,0,0
2020.07.13,15:00:00,49.49,50.40,48.13,49.60,100,0,0
2020.07.14,15:00:00,49.29,50.01,48.00,49.00,100,0,0
2020.07.15,15:00:00,49.11,53.43,49.00,52.57,100,0,0
2020.07.16,15:00:00,52.57,52.65,50.20,50.70,100,0,0
2020.07.17,15:00:00,50.40,55.53,50.00,54.52,100,0,0
2020.07.20,15:00:00,55.00,57.30,54.53,55.84,100,0,0
2020.07.21,15:00:00,55.79,55.84,54.02,55.81,100,0,0
2020.07.22,15:00:00,55.43,56.78,54.58,56.20,100,0,0
2020.07.23,15:00:00,55.01,56.09,52.59,54.26,100,0,0
2020.07.24,15:00:00,53.67,54.67,50.45,51.30,100,0,0
2020.07.27,15:00:00,51.31,53.50,51.31,52.10,100,0,0
2020.07.28,15:00:00,52.68,54.99,52.66,54.32,100,0,0
2020.07.29,15:00:00,54.56,54.98,52.45,54.46,100,0,0
2020.07.30,15:00:00,54.50,55.87,54.10,54.64,100,0,0
2020.07.31,15:00:00,54.18,55.20,53.60,54.63,100,0,0
2020.08.03,15:00:00,54.77,55.44,53.66,54.11,100,0,0
2020.08.04,15:00:00,54.03,55.00,53.64,54.45,100,0,0
2020.08.05,15:00:00,54.00,55.17,53.30,54.80,100,0,0
2020.08.06,15:00:00,54.70,55.38,53.33,53.73,100,0,0
2020.08.07,15:00:00,53.74,55.26,52.55,53.17,100,0,0
2020.08.10,15:00:00,53.42,55.89,53.25,55.81,100,0,0
2020.08.11,15:00:00,55.61,58.37,54.61,57.25,100,0,0
2020.08.12,15:00:00,58.00,58.05,51.62,52.08,100,0,0
2020.08.13,15:00:00,52.91,53.27,50.57,51.09,100,0,0
